attributeId,siteVisitName,siteVisitId,attributeName,attributeConceptId,value,valueId,valueUnit,valueUnitId
http://linked.data.gov.au/dataset/ausplots/site_location_visit-attr-comment_on_distance_to_community-53559,20130319,http://linked.data.gov.au/dataset/ausplots/sv-53559,comment on community extent,http://linked.data.gov.au/def/tern-cv/335a84cd-01af-49cb-8532-acf71dc1d980,Community contained to plot,N/A,N/A,N/A
http://linked.data.gov.au/dataset/ausplots/site_location_visit-attr-comment_on_distance_to_infrastructure-53559,20130319,http://linked.data.gov.au/dataset/ausplots/sv-53559,comment on distance to infrastructure,http://linked.data.gov.au/def/tern-cv/e5953626-5c62-4baa-b8e5-36a7e6660611,Track to the south 470m,N/A,N/A,N/A
http://linked.data.gov.au/dataset/ausplots/site_location_visit-attr-distance_to_nearest_infrastructure-53563,20130320,http://linked.data.gov.au/dataset/ausplots/sv-53563,distance to nearest human infrastructure,http://linked.data.gov.au/def/tern-cv/e926b2ca-2688-486c-aa28-435f91c3c110,95.0,N/A,Metre,http://qudt.org/vocab/unit/M
http://linked.data.gov.au/dataset/ausplots/site_location_visit-attr-comment_on_distance_to_community-53563,20130320,http://linked.data.gov.au/dataset/ausplots/sv-53563,comment on community extent,http://linked.data.gov.au/def/tern-cv/335a84cd-01af-49cb-8532-acf71dc1d980,Community contained to plot,N/A,N/A,N/A
http://linked.data.gov.au/dataset/ausplots/site_location_visit-attr-comment_on_distance_to_infrastructure-53563,20130320,http://linked.data.gov.au/dataset/ausplots/sv-53563,comment on distance to infrastructure,http://linked.data.gov.au/def/tern-cv/e5953626-5c62-4baa-b8e5-36a7e6660611,Track/fence line 45m to north,N/A,N/A,N/A
http://linked.data.gov.au/dataset/ausplots/site_location_visit-attr-visit_notes-53564,20130323,http://linked.data.gov.au/dataset/ausplots/sv-53564,visit notes,http://linked.data.gov.au/def/tern-cv/c5b8b894-b5ee-49bf-be93-52491afe73a9,Site is marked with centre post only.,N/A,N/A,N/A
http://linked.data.gov.au/dataset/ausplots/site_location_visit-attr-distance_to_nearest_infrastructure-53564,20130323,http://linked.data.gov.au/dataset/ausplots/sv-53564,distance to nearest human infrastructure,http://linked.data.gov.au/def/tern-cv/e926b2ca-2688-486c-aa28-435f91c3c110,610.0,N/A,Metre,http://qudt.org/vocab/unit/M
http://linked.data.gov.au/dataset/ausplots/site_location_visit-attr-comment_on_distance_to_community-53564,20130323,http://linked.data.gov.au/dataset/ausplots/sv-53564,comment on community extent,http://linked.data.gov.au/def/tern-cv/335a84cd-01af-49cb-8532-acf71dc1d980,Community contained to plot,N/A,N/A,N/A
http://linked.data.gov.au/dataset/ausplots/site_location_visit-attr-comment_on_distance_to_infrastructure-53564,20130323,http://linked.data.gov.au/dataset/ausplots/sv-53564,comment on distance to infrastructure,http://linked.data.gov.au/def/tern-cv/e5953626-5c62-4baa-b8e5-36a7e6660611,Track 560m to the south east of plot,N/A,N/A,N/A
http://linked.data.gov.au/dataset/ausplots/site_location_visit-attr-distance_to_nearest_infrastructure-53596,20120529,http://linked.data.gov.au/dataset/ausplots/sv-53596,distance to nearest human infrastructure,http://linked.data.gov.au/def/tern-cv/e926b2ca-2688-486c-aa28-435f91c3c110,90.0,N/A,Metre,http://qudt.org/vocab/unit/M
http://linked.data.gov.au/dataset/ausplots/site_location_visit-attr-comment_on_distance_to_community-53596,20120529,http://linked.data.gov.au/dataset/ausplots/sv-53596,comment on community extent,http://linked.data.gov.au/def/tern-cv/335a84cd-01af-49cb-8532-acf71dc1d980,Community confined to plot,N/A,N/A,N/A
http://linked.data.gov.au/dataset/ausplots/site_location_visit-attr-comment_on_distance_to_infrastructure-53596,20120529,http://linked.data.gov.au/dataset/ausplots/sv-53596,comment on distance to infrastructure,http://linked.data.gov.au/def/tern-cv/e5953626-5c62-4baa-b8e5-36a7e6660611,Road north 40m,N/A,N/A,N/A
http://linked.data.gov.au/dataset/ausplots/site_location_visit-attr-distance_to_nearest_infrastructure-53597,20120531,http://linked.data.gov.au/dataset/ausplots/sv-53597,distance to nearest human infrastructure,http://linked.data.gov.au/def/tern-cv/e926b2ca-2688-486c-aa28-435f91c3c110,300.0,N/A,Metre,http://qudt.org/vocab/unit/M
http://linked.data.gov.au/dataset/ausplots/site_location_visit-attr-comment_on_distance_to_community-53597,20120531,http://linked.data.gov.au/dataset/ausplots/sv-53597,comment on community extent,http://linked.data.gov.au/def/tern-cv/335a84cd-01af-49cb-8532-acf71dc1d980,Community confined to plot,N/A,N/A,N/A
http://linked.data.gov.au/dataset/ausplots/site_location_visit-attr-comment_on_distance_to_infrastructure-53597,20120531,http://linked.data.gov.au/dataset/ausplots/sv-53597,comment on distance to infrastructure,http://linked.data.gov.au/def/tern-cv/e5953626-5c62-4baa-b8e5-36a7e6660611,Sealed road 250m east,N/A,N/A,N/A
http://linked.data.gov.au/dataset/ausplots/site_location_visit-attr-visit_notes-53613,20121008,http://linked.data.gov.au/dataset/ausplots/sv-53613,visit notes,http://linked.data.gov.au/def/tern-cv/c5b8b894-b5ee-49bf-be93-52491afe73a9,Training Site,N/A,N/A,N/A
http://linked.data.gov.au/dataset/ausplots/site_location_visit-attr-distance_to_nearest_infrastructure-53613,20121008,http://linked.data.gov.au/dataset/ausplots/sv-53613,distance to nearest human infrastructure,http://linked.data.gov.au/def/tern-cv/e926b2ca-2688-486c-aa28-435f91c3c110,305.0,N/A,Metre,http://qudt.org/vocab/unit/M
http://linked.data.gov.au/dataset/ausplots/site_location_visit-attr-comment_on_distance_to_community-53613,20121008,http://linked.data.gov.au/dataset/ausplots/sv-53613,comment on community extent,http://linked.data.gov.au/def/tern-cv/335a84cd-01af-49cb-8532-acf71dc1d980,"Community extends 50m north, south. 200m east west",N/A,N/A,N/A
