dataset,datasetId,project,projectId,siteName,siteId,siteVisitName,siteVisitId,siteVisitStartDate,siteVisitEndDate,description
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Great Western Woodlands, WAACOO0022",http://linked.data.gov.au/dataset/ausplots/site-waacoo0022,20131019,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-great_western_woodlands__waacoo0022_20131019,2013-10-19T00:00:00Z,N/A,
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Great Western Woodlands, WAACOO0023",http://linked.data.gov.au/dataset/ausplots/site-waacoo0023,20131016,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-great_western_woodlands__waacoo0023_20131016,2013-10-16T00:00:00Z,N/A,
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Karawatha Peri-Urban, core1ha",https://w3id.org/tern/resources/0010cbb0-ff94-4007-8acd-0ebf495aa3ac,20141015,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-karawatha_peri-urban__core1ha_20141015,2014-10-15T00:00:00Z,2014-10-18T00:00:00Z,
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Karawatha Peri-Urban, core1ha",https://w3id.org/tern/resources/0010cbb0-ff94-4007-8acd-0ebf495aa3ac,20150217,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-karawatha_peri-urban__core1ha_20150217,2015-02-17T00:00:00Z,N/A,
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Karawatha Peri-Urban, core1ha",https://w3id.org/tern/resources/0010cbb0-ff94-4007-8acd-0ebf495aa3ac,20150317,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-karawatha_peri-urban__core1ha_20150317,2015-03-17T00:00:00Z,N/A,
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Karawatha Peri-Urban, core1ha",https://w3id.org/tern/resources/0010cbb0-ff94-4007-8acd-0ebf495aa3ac,20150325,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-karawatha_peri-urban__core1ha_20150325,2015-03-25T00:00:00Z,N/A,
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Karawatha Peri-Urban, core1ha",https://w3id.org/tern/resources/0010cbb0-ff94-4007-8acd-0ebf495aa3ac,20150405,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-karawatha_peri-urban__core1ha_20150405,2015-04-05T00:00:00Z,N/A,
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Karawatha Peri-Urban, core1ha",https://w3id.org/tern/resources/0010cbb0-ff94-4007-8acd-0ebf495aa3ac,20150518,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-karawatha_peri-urban__core1ha_20150518,2015-05-18T00:00:00Z,2015-05-21T00:00:00Z,
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Karawatha Peri-Urban, core1ha",https://w3id.org/tern/resources/0010cbb0-ff94-4007-8acd-0ebf495aa3ac,20150902,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-karawatha_peri-urban__core1ha_20150902,2015-09-02T00:00:00Z,N/A,
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Karawatha Peri-Urban, core1ha",https://w3id.org/tern/resources/0010cbb0-ff94-4007-8acd-0ebf495aa3ac,20151205,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-karawatha_peri-urban__core1ha_20151205,2015-12-05T00:00:00Z,N/A,
